product_id,sku_id,referencia,ean,nombre,marca,descripcion,link_texto,url_producto,categoria_id,categoria_nombre,categoria_id_vtex,precio_normal,precio_oferta,precio_unitario,unidades_por_pack,descuento_pct,tiene_descuento,disponible,moneda,cuotas_max,cuota_valor,oferta_valida_hasta,promos_activas,colecciones,num_colecciones,imagen_url,fecha_extraccion
52472,53529,20148232,7804920003201,Shampoo Sin Sal BALLERINA Granada Doypack 900ml,BALLERINA,,shampoo-ballerina-granada-doypack-900ml,https://www.makro.plazavea.com.pe/shampoo-ballerina-granada-doypack-900ml/p,298,Cuidado del Cabello,308,10.0,10.0,10.0,1,,False,True,PEN,1.0,10.0,3000-01-02T05:00:00Z,MAKRO-Bi-Precio|Vigente Oculto | MAKRO-Bi-Precio|Vigente Oculto,Colección FOOD Express | Vive el verano | Cuidado del cabello | Menú Verano | Menú Día del Padre | Shampoo y Acondicionador,4,https://plazavea.vteximg.com.br/arquivos/ids/413176/20148232.jpg?v=637365862570330000,2026-05-04 09:40
49561,49985,20173661,,Shampoo HEAD & SHOULDERS Carbón Activado Frasco 375ml,HEAD & SHOULDERS,,shampoo-head-shoulders-purificacion-capilar-carbon-activado-frasco-375ml,https://www.makro.plazavea.com.pe/shampoo-head-shoulders-purificacion-capilar-carbon-activado-frasco-375ml/p,298,Cuidado del Cabello,308,17.8,17.8,17.8,1,,False,True,PEN,1.0,17.8,3000-01-02T05:00:00Z,MAKRO-Bi-Precio|Vigente Oculto | MAKRO-Bi-Precio|Vigente Oculto,Ofertas Oh! | Delivery Express | Colección FOOD Express | Catálogo H&S y Old Spice SPSA | P&G | Lo Mejor en Cuidado Personal,12,https://plazavea.vteximg.com.br/arquivos/ids/29772074/20173661.jpg?v=638652327561670000,2026-05-04 09:40
48350,48433,20172869,7509552828962,Mascarilla Nutritiva  FRUCTIS Hair Food de Palta Frasco 350ml,FRUCTIS,,mascarilla-para-el-cabello-fructis-hair-food-aguacate-pote-350ml,https://www.makro.plazavea.com.pe/mascarilla-para-el-cabello-fructis-hair-food-aguacate-pote-350ml/p,298,Cuidado del Cabello,310,24.2,24.2,24.2,1,,False,True,PEN,1.0,24.2,3000-01-02T05:00:00Z,,Delivery Express | Colección FOOD Express | Festival de Belleza | plazaVea | Especial Belleza | Arma tu Combo,7,https://plazavea.vteximg.com.br/arquivos/ids/25355327/20172869.jpg?v=638097987495000000,2026-05-04 09:40
48342,48450,20172880,7509552828030,Crema de Tratamiento FRUCTIS Hair Food Reparadora de Coco Frasco 350ml,FRUCTIS,,mascarilla-para-el-cabello-fructis-hair-food-coco-pote-350ml,https://www.makro.plazavea.com.pe/mascarilla-para-el-cabello-fructis-hair-food-coco-pote-350ml/p,298,Cuidado del Cabello,310,24.2,24.2,24.2,1,,False,True,PEN,1.0,24.2,3000-01-02T05:00:00Z,,Delivery Express | Colección FOOD Express | Festival de Belleza | plazaVea | Especial Belleza | Arma tu Combo,9,https://plazavea.vteximg.com.br/arquivos/ids/25355403/20172880.jpg?v=638097987635670000,2026-05-04 09:40
43807,43864,20170010,7702006202886,Crema para Peinar SAVITAL Multivitaminas & Sábila Frasco 275ml,SAVITAL,,crema-para-peinar-savital-multivitaminas-sabila-frasco-275ml,https://www.makro.plazavea.com.pe/crema-para-peinar-savital-multivitaminas-sabila-frasco-275ml/p,298,Cuidado del Cabello,1062,10.5,10.5,10.5,1,,False,True,PEN,1.0,10.5,3000-01-02T05:00:00Z,,Delivery Express | Colección FOOD Express | EXCLUSIVO | Vive el verano | Cuidado del cabello | Menú Verano,8,https://plazavea.vteximg.com.br/arquivos/ids/538040/20170010.jpg?v=637421410182900000,2026-05-04 09:40
42872,43006,20127395,7501027275127,Tinte para Cabello EXCELLENCE Creme 6 Rubio Oscuro Chocolate Caja 1un,EXCELLENCE,,tinte-para-cabello-excellence-creme-6-34-rubio-oscuro-chocolate-caja-1un,https://www.makro.plazavea.com.pe/tinte-para-cabello-excellence-creme-6-34-rubio-oscuro-chocolate-caja-1un/p,298,Cuidado del Cabello,312,36.9,36.9,36.9,1,,False,True,PEN,1.0,36.9,3000-01-02T05:00:00Z,,Colección FOOD Express | Tinte Excellence | plazaVea | Especial Belleza | Cyber Wow Supermercado Julio | Ver todo,4,https://plazavea.vteximg.com.br/arquivos/ids/34332429/20127395.jpg?v=639124912195970000,2026-05-04 09:40
42861,42666,20112761,,Tinte para Cabello EXCELLENCE Creme 7.11 Rubio Cenizo Profundo Caja 1un,EXCELLENCE,,tinte-para-cabello-excellence-creme-7-11-rubio-cenizo-profundo-caja-1un,https://www.makro.plazavea.com.pe/tinte-para-cabello-excellence-creme-7-11-rubio-cenizo-profundo-caja-1un/p,298,Cuidado del Cabello,312,36.9,36.9,36.9,1,,False,True,PEN,1.0,36.9,3000-01-02T05:00:00Z,MAKRO-Bi-Precio|Vigente Oculto | MAKRO-Bi-Precio|Vigente Oculto,Delivery Express | Colección FOOD Express | Festival de Belleza | Tinte Excellence | Excellence,7,https://plazavea.vteximg.com.br/arquivos/ids/542233/20112761.jpg?v=637424343405900000,2026-05-04 09:40
42672,42771,20112773,,Tinte para Cabello EXCELLENCE Extra Profundo 677 Chocolate Puro Caja 1un,EXCELLENCE,,tinte-para-cabello-excellence-extra-profundo-677-chocolate-puro-caja-1un,https://www.makro.plazavea.com.pe/tinte-para-cabello-excellence-extra-profundo-677-chocolate-puro-caja-1un/p,298,Cuidado del Cabello,312,36.9,36.9,36.9,1,,False,True,PEN,1.0,36.9,3000-01-02T05:00:00Z,,Delivery Express | Colección FOOD Express | Tinte Excellence | plazaVea | Especial Belleza | Cyber Wow Supermercado Julio | Ver todo,5,https://plazavea.vteximg.com.br/arquivos/ids/25354656/20112773.jpg?v=638097986087000000,2026-05-04 09:40
42598,42823,20168521,7500435126816,Shampoo HEAD & SHOULDERS Suave y Manejable 2 en 1 Control Caspa Botella 375ml + Botella 180ml,HEAD & SHOULDERS,,pack-shampoo-head---shoulders-suave-y-manejable-frasco-375ml-180ml,https://www.makro.plazavea.com.pe/pack-shampoo-head---shoulders-suave-y-manejable-frasco-375ml-180ml/p,298,Cuidado del Cabello,308,25.5,25.5,25.5,1,,False,True,PEN,1.0,25.5,3000-01-02T05:00:00Z,,Delivery Express | Colección FOOD Express | Catálogo H&S y Old Spice SPSA | P&G | Lo Mejor en Cuidado Personal | Menú Día del Padre | Shampoo y Acondicionador,5,https://plazavea.vteximg.com.br/arquivos/ids/34338333/20168521.jpg?v=639124922189430000,2026-05-04 09:40
40789,40774,20112757,,Tinte para Cabello EXCELLENCE Creme 5 Castaño Claro Caja 1un,EXCELLENCE,,tinte-excellence-creme-5-castano-claro,https://www.makro.plazavea.com.pe/tinte-excellence-creme-5-castano-claro/p,298,Cuidado del Cabello,312,36.9,36.9,36.9,1,,False,True,PEN,1.0,36.9,3000-01-02T05:00:00Z,MAKRO-Bi-Precio|Vigente Oculto | MAKRO-Bi-Precio|Vigente Oculto,Delivery Express | Colección FOOD Express | Tinte Excellence | plazaVea | Especial Belleza,4,https://plazavea.vteximg.com.br/arquivos/ids/25354544/20112757.jpg?v=638097985876330000,2026-05-04 09:40
